# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   69       2.476444106334e-10       4.225641758089e-14      -7.057559630651e-13       0.000000000000e+00       2.563976544787e-11       3.018297832361e-12      -1.013865492869e-14 
   70       2.508892801932e-10       4.399663214348e-14      -7.643086754780e-13       0.000000000000e+00       2.478319887391e-11       2.930680341813e-12      -1.004226227426e-14 
   71       2.541656407682e-10       4.576745162589e-14      -8.245525644249e-13       0.000000000000e+00       2.396317794412e-11       2.846727818289e-12      -9.923894816725e-15 
   72       2.574732171560e-10       4.756803333170e-14      -8.864865713151e-13       0.000000000000e+00       2.317520620876e-11       2.766124422591e-12      -9.773675030203e-15 
   73       2.608128951439e-10       4.939727933974e-14      -9.500789748786e-13       0.000000000000e+00       2.241866504707e-11       2.688815074802e-12      -9.594575028573e-15 
   74       2.641855826627e-10       5.125396768300e-14      -1.015287048001e-12       0.000000000000e+00       2.169360520358e-11       2.614773083738e-12      -9.393596085727e-15 
   75       2.675917837825e-10       5.313679880817e-14      -1.082064096160e-12       0.000000000000e+00       2.099957482917e-11       2.543914655441e-12      -9.178608632051e-15 
   76       2.710315743913e-10       5.504439429634e-14      -1.150359385498e-12       0.000000000000e+00       2.033559507658e-11       2.476096166861e-12      -8.958381884350e-15 
   77       2.745045778725e-10       5.697529558376e-14      -1.220118070894e-12       0.000000000000e+00       1.970013569579e-11       2.411111439525e-12      -8.742613475779e-15 
   78       2.780099407833e-10       5.892796268257e-14      -1.291281124030e-12       0.000000000000e+00       1.909109062953e-11       2.348689013220e-12      -8.541959085773e-15 
   79       2.815463085325e-10       6.090077290155e-14      -1.363785261470e-12       0.000000000000e+00       1.850575360868e-11       2.288489419664e-12      -8.368062069972e-15 
   80       2.851123780047e-10       6.289207975406e-14      -1.437568432005e-12       0.000000000000e+00       1.794149026048e-11       2.230189706816e-12      -8.230795209982e-15 
   81       2.887087194645e-10       6.490040427806e-14      -1.512587534422e-12       0.000000000000e+00       1.739794254472e-11       2.173759914574e-12      -8.129369126741e-15 
   82       2.923362281365e-10       6.692427476211e-14      -1.588803659812e-12       0.000000000000e+00       1.687516439473e-11       2.119229861365e-12      -8.059726560578e-15 
   83       2.959955619346e-10       6.896216934715e-14      -1.666176836126e-12       0.000000000000e+00       1.637294787915e-11       2.066605064686e-12      -8.017171441266e-15 
   84       2.996871278236e-10       7.101251586174e-14      -1.744666059195e-12       0.000000000000e+00       1.589081169583e-11       2.015865630528e-12      -7.996346890539e-15 
   85       3.034110681823e-10       7.307369165744e-14      -1.824229323754e-12       0.000000000000e+00       1.542798966560e-11       1.966965142810e-12      -7.991213224610e-15 
   86       3.071672471651e-10       7.514402344411e-14      -1.904823654461e-12       0.000000000000e+00       1.498341922613e-11       1.919829552802e-12      -7.995025956692e-15 
   87       3.109552370642e-10       7.722178712520e-14      -1.986405136915e-12       0.000000000000e+00       1.455572992578e-11       1.874356068557e-12      -8.000313799513e-15 
   88       3.147743046722e-10       7.930520763310e-14      -2.068928948684e-12       0.000000000000e+00       1.414323191738e-11       1.830412044336e-12      -7.998856667835e-15 
   89       3.186237190033e-10       8.139248049893e-14      -2.152347687077e-12       0.000000000000e+00       1.374431837476e-11       1.787868250907e-12      -7.983441848951e-15 
   90       3.225037595058e-10       8.348184079867e-14      -2.236605984248e-12       0.000000000000e+00       1.335877016742e-11       1.746707088400e-12      -7.953496179776e-15 
   91       3.264148416149e-10       8.557150476933e-14      -2.321645100600e-12       0.000000000000e+00       1.298663559993e-11       1.706929381369e-12      -7.910300956724e-15 
   92       3.303572007721e-10       8.765964919594e-14      -2.407404558261e-12       0.000000000000e+00       1.262782947734e-11       1.668520921880e-12      -7.855296995165e-15 
   93       3.343308836021e-10       8.974441157248e-14      -2.493822146586e-12       0.000000000000e+00       1.228212780017e-11       1.631451874005e-12      -7.790089271168e-15 
   94       3.383357390892e-10       9.182389026282e-14      -2.580833927660e-12       0.000000000000e+00       1.194916245929e-11       1.595676178319e-12      -7.716451563236e-15 
   95       3.423714097539e-10       9.389614466162e-14      -2.668374241805e-12       0.000000000000e+00       1.162841593085e-11       1.561130956401e-12      -7.636331094049e-15 
   96       3.464373228293e-10       9.595919535527e-14      -2.756375713082e-12       0.000000000000e+00       1.131921597122e-11       1.527735915328e-12      -7.551853172198e-15 
   97       3.505326814381e-10       9.801102428285e-14      -2.844769254796e-12       0.000000000000e+00       1.102073031187e-11       1.495392752174e-12      -7.465325833930e-15 
   98       3.546564557687e-10       1.000495748970e-13      -2.933484075000e-12       0.000000000000e+00       1.073196135433e-11       1.463984558508e-12      -7.379244484880e-15 
   99       3.588076396839e-10       1.020728005157e-13      -3.022449055089e-12       0.000000000000e+00       1.045197479915e-11       1.433403244961e-12      -7.295804292947e-15 
  100       3.629860810894e-10       1.040788168443e-13      -3.111597096484e-12       0.000000000000e+00       1.018063395049e-11       1.403637534443e-12      -7.215348528049e-15 
  101       3.671917533359e-10       1.060657714562e-13      -3.200861402708e-12       0.000000000000e+00       9.917960048109e-12       1.374696384123e-12      -7.137708043575e-15 
  102       3.714244947445e-10       1.080317982653e-13      -3.290174183089e-12       0.000000000000e+00       9.663905173828e-12       1.346581824637e-12      -7.062672609830e-15 
  103       3.756840030009e-10       1.099750182708e-13      -3.379466674911e-12       0.000000000000e+00       9.418349782044e-12       1.319288704220e-12      -6.989989589116e-15 
  104       3.799698295492e-10       1.118935403026e-13      -3.468669165557e-12       0.000000000000e+00       9.181100230210e-12       1.292804432845e-12      -6.919362610824e-15 
  105       3.842813739861e-10       1.137854617656e-13      -3.557711014659e-12       0.000000000000e+00       8.951886309322e-12       1.267108726351e-12      -6.850450246514e-15 
  106       3.886178784544e-10       1.156488693859e-13      -3.646520676245e-12       0.000000000000e+00       8.730358774398e-12       1.242173350585e-12      -6.782864685005e-15 
  107       3.929784220372e-10       1.174818399548e-13      -3.735025720890e-12       0.000000000000e+00       8.516086874966e-12       1.217961865530e-12      -6.716170407458e-15 
  108       3.973619151519e-10       1.192824410744e-13      -3.823152857858e-12       0.000000000000e+00       8.308555885549e-12       1.194429369444e-12      -6.649882862466e-15 
  109       4.017670939437e-10       1.210487319027e-13      -3.910827957255e-12       0.000000000000e+00       8.107164636148e-12       1.171522242995e-12      -6.583467141135e-15 
  110       4.061927402152e-10       1.227788113094e-13      -3.997976708395e-12       0.000000000000e+00       7.911361033725e-12       1.149191004269e-12      -6.516458912484e-15 
  111       4.106383852298e-10       1.244709677509e-13      -4.084526643167e-12       0.000000000000e+00       7.721073637099e-12       1.127431292574e-12      -6.448847662789e-15 
  112       4.151036859075e-10       1.261235500595e-13      -4.170405414270e-12       0.000000000000e+00       7.536330949699e-12       1.106247675244e-12      -6.380740251241e-15 
  113       4.195882039903e-10       1.277349229445e-13      -4.255540210211e-12       0.000000000000e+00       7.357127265271e-12       1.085640880062e-12      -6.312242912054e-15 
  114       4.240914026531e-10       1.293034682030e-13      -4.339857783707e-12       0.000000000000e+00       7.183421554541e-12       1.065607668256e-12      -6.243461131120e-15 
  115       4.286126431140e-10       1.308275859309e-13      -4.423284480086e-12       0.000000000000e+00       7.015136351876e-12       1.046140707481e-12      -6.174499522672e-15 
  116       4.331511812451e-10       1.323056957341e-13      -4.505746265685e-12       0.000000000000e+00       6.852156641941e-12       1.027228444811e-12      -6.105461705948e-15 
  117       4.377061641822e-10       1.337362379391e-13      -4.587168756253e-12       0.000000000000e+00       6.694328746369e-12       1.008854979724e-12      -6.036450181848e-15 
  118       4.422766269363e-10       1.351176748045e-13      -4.667477245353e-12       0.000000000000e+00       6.541459210415e-12       9.909999370953e-13      -5.967566209599e-15 
  119       4.468614890033e-10       1.364484917318e-13      -4.746596732756e-12       0.000000000000e+00       6.393313689621e-12       9.736383401832e-13      -5.898909683417e-15 
  120       4.514595509750e-10       1.377271984763e-13      -4.824451952848e-12       0.000000000000e+00       6.249615836474e-12       9.567404836174e-13      -5.830579009162e-15 
